funding,teamSize,marketSize,founderExperience,burnRate,runwayMonths,competitionLevel,productStage,industryGrowth,investorTier,success
7553348.365062513,40,351386561.10590446,1.6202978566252835,245396.98324433414,33.77020481787592,4.093325895524348,3.468889474533714,9.304109952716606,3.5105458060952075,1
19019214.69755733,7,757977209.5577915,6.330140977500534,323536.7993190142,12.969126541748345,2.6607730974198853,2.247060125205565,5.958255768098811,4.231894744080904,1
14666679.44204696,32,582818563.9030719,19.326369838141993,226868.2518880843,21.902373059513256,1.1962150943604768,2.4027583301521505,6.208700131597368,4.348244799385505,1
12013303.835521027,48,689310985.0035797,3.062050095975999,86457.84975536256,16.308659883814137,3.2995601534639007,3.2989353118784885,1.0743512196709037,1.121513543880205,1
3204770.944804487,19,567445313.0947521,14.852026430651799,485866.5375082394,9.435263577367746,4.3045438577970785,3.880707709579265,6.875017799069735,3.860756631536579,1
3204290.9546904326,6,683908832.7966472,7.127870023965808,82197.75876035827,7.58515124866642,9.514602873531928,2.6244761838631048,3.7571717926724446,1.364898647814508,1
1255863.8821471692,20,3839311.510308474,11.635710523890507,73580.86808649953,16.96039596432682,5.422353704625275,1.5706712033070183,5.620747094372775,4.867476862866232,1
17336905.30092121,27,930967246.227058,1.990960770177641,240403.01200222425,7.420315936483199,6.007955536979106,2.837668673410427,5.779606445799378,2.9289634855682016,1
12062188.733689856,43,111809310.6439317,6.128233347078931,336265.8875681274,9.12619312613554,8.921158858433031,4.852751282140224,6.3300207409421745,4.101660579378588,1
14190644.298141304,37,406842846.8809279,10.017298833217765,190363.17006698778,10.268927363939525,8.965625623877267,1.8563474716694968,8.411854514998979,3.4874307854575837,1
509631.4364864687,48,771267331.87461,4.634013163517167,112408.17065451345,6.057471185369971,5.751242439068818,3.596276347843176,3.690411747213997,4.807745978700588,1
19401206.058023687,7,435795487.2914145,10.837398861063043,413102.4166531886,10.597566475309604,2.0233314885999856,4.930167192654656,3.3054524578342845,4.894631840724324,1
16665608.551928394,5,946895709.1158483,4.395186281254326,194289.59389258458,23.31836041135124,3.434645482131067,2.5049508778425187,8.16227963058359,2.1155187639815467,1
4325548.302497695,11,468121359.550268,13.002011053011078,113274.06722427545,30.585693662878093,5.1119938000550995,4.55153443536641,7.468467135949856,2.9314761550704596,1
3718316.8474213025,15,875064466.1970687,18.087086805006287,195240.74120329766,11.802898782242096,7.760525456600979,4.456034868704085,3.0305344405805545,3.0169617204930375,1
3749749.746083333,3,811017285.2489086,1.7097727470314283,122986.01966853967,8.426178115425008,7.40513573496201,2.3561798361008144,1.007527207380086,1.7107908120257136,1
6154420.6348948,5,981005316.4958844,4.3323207155217265,269334.9141499235,27.885425953076165,6.784374117697888,1.3940693004630957,6.993426859810139,4.615750742258557,1
10542652.989481533,23,926621232.9702245,16.8884605452066,340778.9053460956,6.2448813437164805,8.922210038221099,1.7141566182671402,2.414602242151635,2.3984260580000174,1
8695705.870978104,37,898225710.8781658,12.631069708839151,403787.54105560924,28.024863061091438,8.223817674764128,2.462996712405822,9.612966536284553,1.3498271603386431,1
5895459.889941034,9,731872736.1789489,1.5741783428513045,129229.77455353562,9.933517076006439,9.839028167268673,4.836537235781092,6.43966555055856,1.618131469983624,1
12275872.604975352,15,367631149.12095255,9.727002302189906,100137.92273813384,12.848551863582104,9.002426688398401,2.0978005801923882,8.64686639371454,3.0532156224837497,1
2875927.8269756325,3,107019293.14633752,4.1951703002267005,29409.642029705676,9.602097326640887,2.760907850590857,4.707458983708663,8.250593664268822,4.526741268914186,1
5913678.505850841,29,688956407.2121257,3.9819278814013948,129482.12880667647,13.420144711541834,1.5185490896835607,1.725458742468458,6.020179522092962,3.5128746664263737,1
7390600.681544465,6,978675427.256627,18.812906867210476,31474.569198942198,29.94527815385385,4.73059849639891,4.879249702764806,4.9451564225582185,1.859325996024105,1
9175792.685919015,17,726877832.8945371,15.23083096152218,185827.61777074847,9.976323153752272,6.5575400581115115,2.1744181415919885,5.471185672862731,2.1872116851404186,1
15725001.631720971,26,928800639.9080582,13.924611870482874,89932.68263841758,35.82496896880602,6.787931497255353,3.5323690537648225,8.226898664111909,4.90410034272362,1
4073508.2649513585,21,804500408.2425612,4.778576341557173,298349.88714933646,15.812933282933757,3.407614853665228,1.278764897882132,6.764056349905016,1.211395510353583,1
10333265.324430872,8,163951560.4415621,2.3714686608190094,204188.84455581108,33.65904376524986,8.738928680038033,2.1986566847492592,2.8514546290742917,4.977353313857616,1
11889049.920354646,21,249954566.820696,17.416652425707003,64920.963713964586,11.700992395066399,3.9632181728088427,1.8428416255135356,6.484196076990296,4.623430768787054,1
1024363.2131279547,11,342523736.160588,0.1175913868490186,211935.90225756518,11.636925598332052,9.272031457448291,1.013666674735569,4.641999210425043,3.7139330871487255,0
